param_name,param_units,param_test_meth,param_preserv
'Total Aluminum','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Antimony','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Arsenic','ug/L',"'200.5, Rev. 4.2'",'True'
'Benzene','ug/L','524.4','True'
'Total Beryllium','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Cadmium','ug/L',"'200.5, Rev. 4.2'",'True'
'Chromium','ug/L',"'200.5, Rev. 4.2'",'True'
'Dissolved Copper','ug/L','D1688-07 A','True'
'Total Copper','ug/L','D1688-07 A','True'
'Dissolved Iron','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Iron','ug/L',"'200.5, Rev. 4.2'",'True'
'Dissolved Lead','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Lead','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Magnesium','ug/L',"'200.5, Rev. 4.2'",'True'
'Total Mercury','ug/L','D3223-12','True'
'Total Nickel','ug/L',"'200.5, Rev. 4.2'",'True'
'Nitrate + Nitrite Nitrogen','mg/L','D6508-15','True'
'Total Selenium','ug/L',"'200.5, Rev. 4.2'",'True'
'Dissolved Selenium','ug/L',"'200.5, Rev. 4.2'",'True'
'Sulfate','mg/L','300.0','False'
'Total Zinc','ug/L',"'200.5, Rev. 4.2'",'True'
'Dissolved Zinc','ug/L',"'200.5, Rev. 4.2'",'True'
'Alkalinity','mg/L','2320 B','False'
'Total Dissolved Solids','mg/L','2540 C','False'
'Total Suspended Solids','mg/L','160.2','False'
'Turbidity','NTU','180.1','False'