samp_loc_name,samp_loc_type,samp_loc_lat,samp_loc_long,samp_loc_drain,samp_loc_imp_drain
'BMP_NTIB_US','BMP',40.39476588,-124.0136211,40.20430274,32.16344219
'BMP_VRIT_US','BMP',40.38843671,-124.0262427,18.41083779,17.4902959
'BMP_SVS_US','BMP',40.38565575,-124.034067,42.59757774,31.94818331
'BMP_WTBB_US','BMP',40.39297558,-124.038559,82.91331366,66.33065092
'BMP_VRBB_US','BMP',40.39050711,-124.0231137,85.37125922,64.02844442
'BMP_ETW_US','BMP',40.39095351,-124.0125957,13.18315927,12.52400131
'BMP_QRIB_US','BMP',40.39392529,-124.0291945,57.32472512,54.45848887
'BMP_SVS_DS','BMP',40.38408556,-124.034247,42.59757774,31.94818331
'BMP_ETW_DS','BMP',40.38933686,-124.0129456,13.18315927,12.52400131
'West_OF1','Outfall',40.38221186,-124.0343609,70.78581615,42.47148969
'North_OF1','Outfall',40.39170724,-124.01707,31.30861319,12.52344528
'East_OF1','Outfall',40.38778336,-124.0129342,41.61105015,24.96663009
'East_OF2','Outfall',40.38117441,-124.0260599,142.7083411,49.94791939
'Stream','Stream',40.37737997,-124.031897,,